,date_scraped,symbol,name,price,change,change_perc,market_cap,vol_utc,vol_24,total_vol,circ_supply
0,2022-10-02 13:34:14,Select BTC-USDBTC-USD,Bitcoin USD,"19,354.17",+31.76,+0.16%,370.954B,17.834B,17.834B,17.834B,19.167M
1,2022-10-02 13:34:14,Select ETH-USDETH-USD,Ethereum USD,"1,314.78",-11.54,-0.87%,161.211B,6.092B,6.092B,6.092B,122.615M
2,2022-10-02 13:34:16,Select USDT-USDUSDT-USD,Tether USD,1.0001,+0.0000,+0.00%,67.954B,26.247B,26.247B,26.247B,67.949B
3,2022-10-02 13:34:16,Select USDC-USDUSDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,47.273B,2.971B,2.971B,2.971B,47.268B
4,2022-10-02 13:34:16,Select BNB-USDBNB-USD,BNB USD,282.29,-0.01,-0.01%,45.544B,580.67M,580.67M,580.67M,161.337M
5,2022-10-02 13:34:16,Select XRP-USDXRP-USD,XRP USD,0.476921,+0.003827,+0.81%,23.799B,1.325B,1.325B,1.325B,49.901B
6,2022-10-02 13:34:17,Select BUSD-USDBUSD-USD,Binance USD USD,1.0007,+0.0002,+0.02%,21.057B,4.422B,4.422B,4.422B,21.042B
7,2022-10-02 13:34:17,Select ADA-USDADA-USD,Cardano USD,0.431952,-0.000707,-0.16%,14.796B,308.841M,308.841M,308.841M,34.253B
8,2022-10-02 13:34:17,Select SOL-USDSOL-USD,Solana USD,33.00,+0.11,+0.33%,11.723B,547.992M,547.992M,547.992M,355.284M
9,2022-10-02 13:34:17,Select DOGE-USDDOGE-USD,Dogecoin USD,0.060859,-0.000337,-0.55%,8.074B,235.842M,235.842M,235.842M,132.671B
10,2022-10-02 13:34:17,Select DOT-USDDOT-USD,Polkadot USD,6.3188,+0.0345,+0.55%,7.091B,167.134M,167.134M,167.134M,1.122B
11,2022-10-02 13:34:17,Select DAI-USDDAI-USD,Dai USD,1.0000,+0.0004,+0.04%,6.863B,354.633M,354.633M,354.633M,6.863B
12,2022-10-02 13:34:18,Select MATIC-USDMATIC-USD,Polygon USD,0.774888,+0.000719,+0.09%,6.768B,166.837M,166.837M,166.837M,8.734B
13,2022-10-02 13:34:18,Select WTRX-USDWTRX-USD,Wrapped TRON USD,0.060504,-0.000737,-1.20%,6.152B,"479,846","479,846","479,846",101.676B
14,2022-10-02 13:34:18,Select SHIB-USDSHIB-USD,Shiba Inu USD,0.000011,-0.000000,-0.25%,6.147B,139.859M,139.859M,139.859M,549.063T
15,2022-10-02 13:34:18,Select HEX-USDHEX-USD,HEX USD,0.033350,-0.000866,-2.53%,5.783B,5.905M,5.905M,5.905M,173.411B
16,2022-10-02 13:34:18,Select TRX-USDTRX-USD,TRON USD,0.060580,-0.000508,-0.83%,5.594B,273.677M,273.677M,273.677M,92.342B
17,2022-10-02 13:34:18,Select AVAX-USDAVAX-USD,Avalanche USD,17.08,-0.14,-0.84%,5.054B,134.551M,134.551M,134.551M,295.996M
18,2022-10-02 13:34:19,Select UNI1-USDUNI1-USD,Uniswap USD,6.4002,-0.1068,-1.64%,4.878B,125.607M,125.607M,125.607M,762.209M
19,2022-10-02 13:34:19,Select WBTC-USDWBTC-USD,Wrapped Bitcoin USD,"19,347.96",+13.50,+0.07%,4.737B,64.572M,64.572M,64.572M,"244,856"
20,2022-10-02 13:34:19,Select STETH-USDSTETH-USD,Lido Staked ETH USD,"1,311.35",-11.71,-0.88%,4.574B,2.869M,2.869M,2.869M,3.488M
21,2022-10-02 13:34:19,Select YOUC-USDYOUC-USD,yOUcash USD,0.511432,+0.000022,+0.00%,4.407B,"780,896","780,896","780,896",8.617B
22,2022-10-02 13:34:19,Select LEO-USDLEO-USD,UNUS SED LEO USD,4.0926,-0.0566,-1.36%,3.904B,3.14M,3.14M,3.14M,953.954M
23,2022-10-02 13:34:19,Select ETC-USDETC-USD,Ethereum Classic USD,27.71,+0.04,+0.13%,3.801B,240.474M,240.474M,240.474M,137.162M
24,2022-10-02 13:34:20,Select LTC-USDLTC-USD,Litecoin USD,53.33,+0.07,+0.13%,3.802B,253.555M,253.555M,253.555M,71.294M
25,2022-10-02 13:34:20,Select LINK-USDLINK-USD,Chainlink USD,7.5200,-0.0597,-0.79%,3.697B,316.398M,316.398M,316.398M,491.6M
26,2022-10-02 13:34:20,Select ATOM-USDATOM-USD,Cosmos USD,12.88,-0.14,-1.11%,3.688B,162.895M,162.895M,162.895M,286.37M
27,2022-10-02 13:34:20,Select FTT-USDFTT-USD,FTX Token USD,24.33,+0.19,+0.77%,3.259B,42.297M,42.297M,42.297M,133.975M
28,2022-10-02 13:34:20,Select XLM-USDXLM-USD,Stellar USD,0.120746,+0.003467,+2.96%,3.077B,266.608M,266.608M,266.608M,25.482B
29,2022-10-02 13:34:20,Select NEAR-USDNEAR-USD,NEAR Protocol USD,3.5988,+0.0234,+0.65%,2.876B,85.784M,85.784M,85.784M,799.178M
30,2022-10-02 13:34:21,Select CRO-USDCRO-USD,Cronos USD,0.111695,+0.001136,+1.03%,2.822B,10.403M,10.403M,10.403M,25.263B
